,Solar (CAC),Solar (MAC),Solar (NAC),Solar (NEC),Solar (SAC),Wind (CAC),Wind (NAC),Wind (NEC),Wind (SAC),Load,Net Load
18-05-2036 04:00,0,0,0,0,0,1372.9969,18.1845,1778.37,9.31,33876.25,30697.39
18-05-2036 04:30,0,0,0,0,0,1401.8266,13.3785,1699.83,7.105,33699.43097,30577.29
18-05-2036 05:00,0,0,0,0.2618,0,1391.3473,11.9745,1759.23,6.1005,34429.61101,31260.7
18-05-2036 05:30,9.9508,12.0938,1.9038,19.2787,0,1350.0294,9.6525,1773.42,9.506,34095.87896,30910.04
18-05-2036 06:00,20.9655,24.9242,29.1056,71.4835,3.8294,1291.7315,8.406,1655.28,12.936,32797.14596,29678.48
18-05-2036 06:30,65.1411,32.8251,48.8566,177.6312,74.9221,1160.4189,9.252,1352.67,8.967,32090.138,29159.45
18-05-2036 07:00,148.975,56.4428,115.6406,284.6294,204.4155,943.0515,11.5695,1126.62,5.145,31883.131,28986.64
18-05-2036 07:30,259.4479,117.1285,203.7736,433.1931,358.9821,882.901,11.2005,982.41,3.1115,32028.01197,28775.86
18-05-2036 08:00,394.012,225.5428,288.3082,661.4204,536.2073,751.0008,8.703,811.14,2.891,33438.89303,29759.67
18-05-2036 08:30,585.3959,345.1977,381.3194,833.1225,725.0649,665.4983,6.993,625.68,4.6795,34270.66503,30097.71
18-05-2036 09:00,798.0665,538.5736,477.1056,1094.9863,830.5211,500.3772,5.526,510.18,2.8665,34676.438,29918.24
18-05-2036 09:30,975.8824,754.7021,564.2212,1428.7031,931.5546,401.4079,4.3875,454.08,1.6415,35229.02407,29712.44
18-05-2036 10:00,1054.0868,920.421,639.2138,1661.1714,1155.3855,346.7449,3.1725,367.62,1.519,35638.611,29489.28
18-05-2036 10:30,1168.0851,1197.0755,710.2976,1912.9508,1433.1608,336.2261,2.178,307.23,1.5925,35762.70003,28693.9
18-05-2036 11:00,1322.0551,1469.9801,748.2626,2213.4324,1548.5972,529.3903,1.3365,334.29,1.5435,35867.789,27698.9
18-05-2036 11:30,1427.7474,1471.8999,765.6042,2415.5541,1612.1401,674.9863,1.5255,274.89,1.47,35534.95396,26889.14
18-05-2036 12:00,1478.5725,725.0328,785.8444,2823.9413,1645.5642,903.4813,1.35,338.25,1.813,35388.11903,26684.27
18-05-2036 12:30,1436.4017,433.5518,734.9256,2850.407,1653.9562,940.1804,2.061,736.89,2.9155,35581.52593,26790.24
18-05-2036 13:00,1247.3236,425.7154,597.618,2504.39,1625.2087,1192.074,1.5435,865.26,3.5525,36695.93304,28233.25
18-05-2036 13:30,1076.6013,393.2547,513.9952,2310.5813,1549.1825,1109.4828,0.153,1201.53,7.938,36697.66597,28534.95
18-05-2036 14:00,1046.6887,308.9646,591.2366,2496.4596,1339.7786,1048.5181,0.5715,1275.45,24.5735,36474.4,28342.16
18-05-2036 14:30,873.2798,255.8082,306.3792,2245.7359,1142.0105,755.7605,24.111,1491.6,25.2105,36681.87304,29561.98
18-05-2036 15:00,688.5504,228.5842,470.3248,1941.5539,794.5812,427.4203,44.1,1138.17,50.3965,36662.34604,30878.66
18-05-2036 15:30,631.743,202.6634,523.618,1737.2551,674.5876,504.521,42.651,966.24,43.3895,36397.575,31070.91
18-05-2036 16:00,580.0166,210.171,411.7426,1298.6947,584.6722,433.6744,32.742,516.12,30.282,36170.805,32072.69
18-05-2036 16:30,447.2155,219.6501,278.657,869.9003,366.6112,426.3108,27.4815,361.02,32.2665,35438.88804,32409.78
18-05-2036 17:00,347.7259,208.5045,168.0306,561.1787,231.9953,410.0572,6.93,324.72,25.921,35117.97,32832.91
18-05-2036 17:30,197.1116,136.6732,74.6576,291.0027,132.3425,354.8648,6.4755,309.54,19.6245,35692.75103,34170.46
18-05-2036 18:00,68.0365,54.158,12.1588,76.9574,53.0413,350.5667,4.374,278.85,12.446,37897.53104,36986.94
18-05-2036 18:30,24.1507,3.8313,0.9266,65.8618,34.5203,488.5001,0.81,272.58,7.3745,40842.106,39943.55
18-05-2036 19:00,0,0,0.2856,0,0,671.8993,0.0225,374.88,11.76,41436.681,40377.83
18-05-2036 19:30,0,0,0,0,0,653.0577,0.072,408.54,12.9605,41980.71301,40906.08
18-05-2036 20:00,0,0,0,0,0,762.935,1.5165,960.63,18.473,42130.744,40387.19
18-05-2036 20:30,0,0,0,0,0,759.3561,0.216,1030.26,20.6535,41735.314,39924.83
18-05-2036 21:00,0,0,0,0,0,760.4726,0.882,846.45,15.092,41407.88404,39784.99
18-05-2036 21:30,0,0,0,0,0,709.8253,0.3015,678.81,17.7135,40392.273,38985.62
18-05-2036 22:00,0,0,0,0,0,708.4941,1.341,611.82,18.326,39826.66104,38486.68
18-05-2036 22:30,0,0,0,0,0,701.9492,1.2375,492.36,15.8515,37986.82996,36775.43
18-05-2036 23:00,0,0,0,0,0,638.2317,0.072,512.16,12.103,36829.99799,35667.43
18-05-2036 23:30,0,0,0,0,0,736.7336,0.189,535.92,9.3835,35630.874,34348.65
