time,Consumption
0.0,0.041757932605132636
0.5,0.03979668294999255
1.0,0.03891072897245376
1.5,0.03713123671000283
2.0,0.03636878097993129
2.5,0.03529978063265896
3.0,0.034845900324934155
3.5,0.03402632823944056
4.0,0.03341428497681701
4.5,0.03308581691952525
5.0,0.03326709845951739
5.5,0.03385176281511393
6.0,0.03305743472777724
6.5,0.036209083476443645
7.0,0.03626317999061448
7.5,0.03548158133610605
8.0,0.037786181097873246
8.5,0.04042257491345424
9.0,0.042487006693016464
9.5,0.04425476227662782
10.0,0.045482540074062286
10.5,0.04471340199116704
11.0,0.045449376824519466
11.5,0.046333390015740696
12.0,0.04625955798554783
12.5,0.04700084403893959
13.0,0.046781650991045934
13.5,0.04618131927976352
14.0,0.046318098117570275
14.5,0.046273800024825965
15.0,0.04759425393282334
15.5,0.0469316791570987
16.0,0.04677659490386451
16.5,0.047407108760209274
17.0,0.047936040798323455
17.5,0.04772656445613567
18.0,0.04727666753302938
18.5,0.0475550272405658
19.0,0.04793651384484694
19.5,0.04846075799377843
20.0,0.04623576448655509
20.5,0.0468168726115748
21.0,0.04714920838141113
21.5,0.04707081493927742
22.0,0.04650373517454595
22.5,0.045677174811295546
23.0,0.04513171306711668
23.5,0.04436071153899624
