time,Consumption
0.0,0.05183033671210536
0.5,0.051399240848438464
1.0,0.04930911581976433
1.5,0.04851261484477592
2.0,0.046924656042040214
2.5,0.04605363207866556
3.0,0.045246876793740315
3.5,0.0454919293970579
4.0,0.04446217117133756
4.5,0.04554720626998125
5.0,0.045495171189574225
5.5,0.04619045916291383
6.0,0.04634691032387656
6.5,0.04920803907929166
7.0,0.043751390087032285
7.5,0.04066580253975004
8.0,0.03872033537852204
8.5,0.039103586289668674
9.0,0.03412556504742112
9.5,0.03358900670212918
10.0,0.031884026094806846
10.5,0.03247595582883256
11.0,0.03264717825828653
11.5,0.03155247584257963
12.0,0.03168807443012659
12.5,0.03159851174088489
13.0,0.03209862992539303
13.5,0.03214003462291394
14.0,0.032533332173476384
14.5,0.03335672334198567
15.0,0.03382186480257134
15.5,0.03523477678988786
16.0,0.03498083720949419
16.5,0.036201819072239794
17.0,0.03900564414139087
17.5,0.040841603100896365
18.0,0.04134743653155952
18.5,0.04274384679088702
19.0,0.04609802272206906
19.5,0.04749931894864976
20.0,0.049441388901197446
20.5,0.05290535517978116
21.0,0.056291386041359394
21.5,0.05752783318252459
22.0,0.059191492249317114
22.5,0.0569502681244757
23.0,0.054874170929324076
23.5,0.054018231202109995
